timestamp,city,state,country,lat,lon,aqius,mainus,aqicn,maincn,temperature,humidity,pressure,wind_direction,wind_speed,hour,day,month,weekday,aqius_change,aqius_future
2025-06-26 14:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,53,p2,15,p2,28,80,1004,116,2.54,14,26,6,3,0.0,84.0
2025-06-26 15:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,65,p2,24,p2,27,83,1003,106,2.05,15,26,6,3,12.0,93.0
2025-06-26 16:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,76,p2,32,p2,27,85,1003,101,1.41,16,26,6,3,11.0,87.0
2025-06-26 17:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,84,p2,38,p2,27,86,1004,93,1.56,17,26,6,3,8.0,79.0
2025-06-26 18:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,93,p2,45,p2,27,82,1003,86,1.2,18,26,6,3,9.0,75.0
2025-06-26 19:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,87,p2,41,p2,27,86,1004,92,1.52,19,26,6,3,-6.0,78.0
2025-06-26 20:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,79,p2,34,p2,27,86,1004,119,1.81,20,26,6,3,-8.0,71.0
2025-06-26 21:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,75,p2,32,p2,27,88,1004,116,2.0,21,26,6,3,-4.0,73.0
2025-06-26 22:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,78,p2,34,p2,27,87,1004,105,2.1,22,26,6,3,3.0,74.0
2025-06-26 23:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,71,p2,29,p2,27,85,1004,104,2.19,23,26,6,3,-7.0,75.0
2025-06-27 01:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,73,p2,30,p2,28,82,1005,127,3.05,1,27,6,4,2.0,78.0
2025-06-27 03:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,74,p2,31,p2,29,66,1003,137,4.28,3,27,6,4,1.0,82.0
2025-06-27 04:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,75,p2,31,p2,31,58,1003,141,5.93,4,27,6,4,1.0,79.0
2025-06-27 05:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,78,p2,34,p2,32,54,1002,141,6.37,5,27,6,4,3.0,81.0
2025-06-27 06:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,82,p2,37,p2,32,52,1002,144,6.29,6,27,6,4,4.0,84.0
2025-06-27 07:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,79,p2,35,p2,32,52,1001,144,3.86,7,27,6,4,-3.0,84.0
2025-06-27 08:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,81,p2,36,p2,31,54,1001,140,2.71,8,27,6,4,2.0,87.0
2025-06-27 09:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,84,p2,39,p2,32,52,1000,113,2.33,9,27,6,4,3.0,80.0
2025-06-27 10:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,84,p2,39,p2,32,50,1000,119,2.54,10,27,6,4,0.0,73.0
2025-06-27 11:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,87,p2,41,p2,33,50,999,128,2.51,11,27,6,4,3.0,72.0
2025-06-27 12:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,80,p2,36,p2,33,49,999,140,1.98,12,27,6,4,-7.0,69.0
2025-06-27 13:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,73,p2,30,p2,32,53,999,140,1.6,13,27,6,4,-7.0,75.0
2025-06-27 14:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,72,p2,29,p2,32,57,999,117,1.82,14,27,6,4,-1.0,79.0
2025-06-27 15:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,69,p2,27,p2,31,59,999,109,2.71,15,27,6,4,-3.0,88.0
2025-06-27 16:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,75,p2,31,p2,31,61,1000,98,2.82,16,27,6,4,6.0,89.0
2025-06-27 17:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,79,p2,34,p2,31,61,1001,96,2.7,17,27,6,4,4.0,86.0
2025-06-27 18:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,88,p2,41,p2,30,64,1001,91,2.04,18,27,6,4,9.0,82.0
2025-06-27 19:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,89,p2,42,p2,30,64,1001,93,2.18,19,27,6,4,1.0,92.0
2025-06-27 20:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,86,p2,40,p2,30,65,1000,107,2.39,20,27,6,4,-3.0,95.0
2025-06-27 21:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,82,p2,37,p2,29,68,1000,112,3.14,21,27,6,4,-4.0,117.0
2025-06-27 22:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,92,p2,44,p2,29,71,999,113,3.39,22,27,6,4,10.0,124.0
2025-06-27 23:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,95,p2,47,p2,27,75,1000,113,2.95,23,27,6,4,3.0,133.0
2025-06-28 01:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,117,p2,59,p2,25,85,1002,44,2.81,1,28,6,5,22.0,121.0
2025-06-28 03:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,124,p2,62,p2,25,85,1002,10,3.36,3,28,6,5,7.0,107.0
2025-06-28 04:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,133,p2,67,p2,24,89,1002,355,3.21,4,28,6,5,9.0,110.0
2025-06-28 05:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,121,p2,61,p2,23,85,1003,46,3.43,5,28,6,5,-12.0,115.0
2025-06-28 06:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,107,p2,54,p2,26,77,1002,73,3.45,6,28,6,5,-14.0,115.0
2025-06-28 07:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,110,p2,55,p2,28,69,1001,70,2.78,7,28,6,5,3.0,119.0
2025-06-28 08:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,115,p2,58,p2,29,63,1000,107,1.48,8,28,6,5,5.0,127.0
2025-06-28 09:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,115,p2,58,p2,32,53,998,81,1.56,9,28,6,5,0.0,112.0
2025-06-28 10:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,119,p2,60,p2,33,50,997,75,2.21,10,28,6,5,4.0,102.0
2025-06-28 11:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,127,p2,64,p2,33,48,996,94,1.49,11,28,6,5,8.0,99.0
2025-06-28 12:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,112,p2,56,p2,34,48,996,276,0.85,12,28,6,5,-15.0,102.0
2025-06-28 13:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,102,p2,51,p2,34,44,996,252,0.41,13,28,6,5,-10.0,116.0
2025-06-28 14:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,99,p2,50,p2,34,49,996,90,0.22,14,28,6,5,-3.0,131.0
2025-06-28 15:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,102,p2,51,p2,33,50,996,81,1.16,15,28,6,5,3.0,142.0
2025-06-28 16:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,116,p2,58,p2,33,51,997,103,1.59,16,28,6,5,14.0,143.0
2025-06-28 17:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,131,p2,66,p2,32,53,997,100,1.71,17,28,6,5,15.0,147.0
2025-06-28 18:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,142,p2,71,p2,31,57,997,48,2.25,18,28,6,5,11.0,151.0
2025-06-28 19:00:00+00:00,Islamabad,Islamabad,Pakistan,33.697612,72.971079,143,p2,72,p2,29,66,997,43,2.78,19,28,6,5,1.0,150.0
